,Education,Marital_Status,Income,Recency,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,total_products,frequent_purchases,total_child,age
0,2,4,58138.0,58,7,0,0,0,0,0,0,1617,25,0,66
1,2,4,46344.0,38,5,0,0,0,0,0,0,27,6,2,69
2,2,5,71613.0,26,4,0,0,0,0,0,0,776,21,0,58
3,2,5,26646.0,26,6,0,0,0,0,0,0,53,8,1,39
4,4,3,58293.0,94,5,0,0,0,0,0,0,422,19,1,42
5,3,5,62513.0,16,6,0,0,0,0,0,0,716,22,1,56
6,2,2,55635.0,34,6,0,0,0,0,0,0,590,21,1,52
7,4,3,33454.0,32,8,0,0,0,0,0,0,169,10,1,38
8,4,5,30351.0,19,9,0,0,0,0,0,0,46,6,1,49
9,4,5,5648.0,68,20,1,0,0,0,0,0,49,2,2,73
11,1,3,7500.0,59,8,0,0,0,0,0,0,61,6,0,47
12,2,2,63033.0,82,2,0,0,0,0,0,0,1102,16,0,64
13,3,2,59354.0,53,6,0,0,0,0,0,0,310,15,2,71
14,2,3,17323.0,38,8,0,0,0,0,0,0,46,5,0,36
15,4,4,82800.0,23,3,0,0,1,1,0,0,1315,26,0,77
16,2,3,41850.0,51,8,0,0,0,0,0,0,96,9,2,43
17,2,5,37760.0,20,7,0,0,0,0,0,0,317,13,0,77
18,3,3,76995.0,91,5,0,0,0,1,0,0,1782,26,1,74
19,0,4,33812.0,86,6,0,0,0,0,0,0,133,8,1,38
20,2,3,37040.0,41,8,0,0,0,0,0,0,316,12,0,41
21,2,3,2447.0,42,1,0,0,0,0,0,0,1730,43,1,44
22,4,3,58607.0,63,8,0,1,0,0,0,0,972,17,1,74
23,4,3,65324.0,0,4,0,0,0,0,0,0,544,20,1,69
24,2,5,40689.0,69,8,0,0,0,0,0,0,444,20,1,72
25,2,4,18589.0,89,7,0,0,0,0,0,0,75,8,0,54
26,2,3,53359.0,4,7,0,0,0,0,0,0,257,14,2,47
28,2,3,38360.0,26,3,0,0,0,0,0,0,131,9,1,34
29,4,3,84618.0,96,2,0,0,1,0,0,0,1672,26,0,58
30,3,2,10979.0,34,5,0,0,0,0,0,0,30,8,0,34
31,3,5,38620.0,56,3,0,0,0,0,0,0,318,11,0,60
32,2,5,40548.0,31,5,0,1,0,0,0,0,120,9,1,53
33,4,2,46610.0,8,6,0,0,0,0,0,0,302,17,2,71
34,3,3,68657.0,4,7,0,0,0,0,0,0,1196,18,0,77
35,3,4,49389.0,55,7,0,0,0,0,0,0,65,6,2,72
36,4,3,67353.0,37,2,0,0,0,0,0,0,913,28,1,53
37,0,3,23718.0,76,7,0,0,0,0,0,0,81,9,1,47
38,2,6,42429.0,99,5,0,0,0,0,0,0,67,7,1,50
39,4,2,48948.0,53,6,1,0,0,0,0,0,902,24,0,80
40,2,3,80011.0,3,4,0,0,0,0,0,0,1395,21,1,43
41,3,3,20559.0,88,8,0,0,0,0,0,0,53,7,1,38
42,2,5,21994.0,4,5,0,0,0,0,0,0,22,4,1,66
44,3,3,7500.0,19,5,0,0,0,0,0,0,31,8,1,48
45,2,4,79941.0,72,1,0,0,0,0,0,0,984,16,0,47
46,0,3,7500.0,24,9,0,0,0,0,0,0,122,10,0,27
47,2,5,41728.0,92,10,0,0,0,0,0,0,55,5,1,55
49,4,3,72550.0,39,8,0,0,0,0,0,0,1319,28,2,69
50,2,6,65486.0,29,2,0,0,0,0,0,0,507,17,1,66
51,3,3,79143.0,2,3,0,0,0,0,0,0,1693,29,0,59
52,2,4,35790.0,54,7,0,0,0,0,0,0,72,7,1,46
53,2,2,82582.0,54,1,1,0,0,1,0,0,1617,21,0,46
54,2,3,66373.0,57,3,0,0,0,0,0,0,606,23,2,45
55,3,5,82384.0,55,1,0,0,1,0,0,0,1957,27,0,68
56,2,2,70287.0,30,3,0,0,0,0,0,0,1093,21,0,57
57,2,4,27938.0,31,3,0,0,0,0,0,0,29,6,1,35
59,4,3,55954.0,63,7,0,0,0,0,0,0,518,19,1,55
60,3,4,75777.0,12,1,0,1,1,0,0,0,1438,21,0,41
61,2,5,66653.0,18,3,0,0,0,0,0,0,612,22,2,48
62,2,4,61823.0,26,7,0,0,0,0,0,0,884,24,1,71
63,4,6,67680.0,8,5,0,0,0,0,0,0,606,19,1,72
64,2,5,70666.0,29,4,0,0,0,0,0,0,1076,16,0,75
65,2,3,25721.0,75,7,0,0,0,0,0,0,34,5,1,52
66,2,5,32474.0,0,7,0,0,0,0,0,0,11,4,2,56
67,0,4,88194.0,19,5,1,0,0,1,0,0,1274,32,1,44
68,2,5,69096.0,4,4,0,0,0,0,0,0,653,18,1,65
69,2,5,74854.0,90,5,0,0,0,0,0,0,1562,19,3,53
70,3,3,66991.0,1,3,0,0,0,0,0,0,1253,21,0,69
72,2,3,65031.0,29,7,0,0,0,0,0,0,863,30,1,64
73,4,3,60631.0,88,7,0,1,0,0,0,0,661,24,2,48
74,2,3,28332.0,58,2,0,0,0,0,0,0,65,8,0,71
75,2,2,40246.0,68,6,0,0,0,0,0,0,13,4,1,46
76,3,3,75251.0,34,5,0,0,0,0,0,0,1890,19,0,51
77,2,4,75825.0,40,4,1,0,0,0,0,0,2209,22,0,47
78,0,5,26326.0,12,3,0,0,0,0,0,1,18,4,0,47
79,2,5,56046.0,9,8,1,0,0,0,0,0,692,21,0,58
80,2,4,29760.0,87,8,0,0,0,0,0,0,165,12,1,38
81,2,3,26304.0,5,7,0,0,0,0,0,0,16,4,1,54
82,0,3,23559.0,87,7,0,0,0,0,0,0,79,9,1,50
83,3,5,38620.0,56,3,0,0,0,0,0,0,318,11,0,60
84,2,2,81361.0,18,1,0,0,0,0,0,0,778,27,0,36
85,2,3,29440.0,95,7,0,0,0,0,0,0,56,7,2,63
86,3,3,36138.0,48,7,0,1,0,0,0,0,151,13,2,53
87,2,4,50388.0,3,7,0,1,0,1,0,0,372,17,1,66
88,2,3,79593.0,70,2,0,0,1,0,0,0,1366,19,0,50
89,2,5,54178.0,79,2,0,0,0,0,0,0,194,10,1,56
93,3,4,42394.0,69,7,0,0,0,0,0,0,32,5,1,51
94,4,3,23626.0,84,5,0,0,0,0,0,0,43,10,1,53
95,2,3,30096.0,30,6,0,0,0,0,0,0,45,6,1,40
96,2,6,47916.0,72,6,0,1,0,0,0,0,606,22,1,63
97,2,2,51813.0,37,7,0,0,0,0,0,0,63,7,2,51
98,0,3,78497.0,44,2,0,0,0,1,0,0,978,25,0,72
99,4,3,50150.0,32,5,0,0,0,0,0,0,410,16,0,40
100,0,4,47823.0,0,8,0,0,0,0,0,0,72,7,1,63
101,4,4,34554.0,43,6,0,0,0,0,0,0,55,7,1,64
102,2,5,85693.0,59,5,0,0,0,0,0,0,1169,27,1,44
103,4,3,65846.0,68,4,0,0,0,0,0,0,1120,16,0,78
104,2,3,87195.0,35,1,0,0,0,0,0,0,1097,20,0,64
105,1,5,24594.0,94,5,0,0,0,0,0,0,29,5,1,44
106,2,3,49096.0,15,7,0,0,0,0,0,0,187,13,2,59
107,2,3,52413.0,56,6,0,0,0,0,0,0,910,26,2,54
108,2,4,38557.0,17,7,0,0,0,0,0,0,145,9,1,45
109,3,3,89058.0,18,2,0,0,0,0,0,0,850,14,0,63
110,2,5,77298.0,46,3,0,0,0,0,0,0,969,24,1,44
111,4,4,68126.0,40,9,0,1,0,0,0,0,1820,17,0,32
112,3,5,57288.0,27,6,0,1,0,0,0,0,608,20,1,60
113,2,4,86037.0,95,3,0,1,1,0,0,0,730,25,0,32
114,4,3,43974.0,19,7,0,0,0,0,0,0,551,21,1,43
115,2,4,50785.0,27,6,0,0,0,0,0,0,114,8,2,61
116,2,3,90765.0,25,1,0,0,1,1,0,0,1724,15,0,53
117,0,3,36550.0,74,9,0,0,0,0,0,0,577,20,1,45
118,0,5,30753.0,85,5,0,0,0,0,0,0,81,7,2,56
119,2,5,21918.0,37,6,0,0,0,0,0,0,33,7,1,54
120,3,5,56129.0,65,4,0,0,0,0,0,0,660,22,1,70
121,3,4,32557.0,13,5,0,0,0,0,0,0,80,9,1,56
122,3,3,19510.0,63,7,0,0,0,0,0,0,30,6,2,38
123,2,2,30992.0,83,7,0,0,0,0,0,0,43,5,1,47
124,2,4,101970.0,69,2,0,1,1,1,0,0,1135,27,0,40
125,0,5,71488.0,87,1,0,0,0,0,0,0,559,16,0,58
126,2,4,79607.0,37,1,0,0,0,0,0,0,1923,16,0,39
127,3,3,54348.0,51,6,0,0,0,0,0,0,90,8,2,70
129,4,5,77376.0,72,4,0,0,0,0,0,0,661,23,2,67
130,2,3,62998.0,10,5,0,0,0,0,0,0,463,19,1,71
131,3,1,61331.0,42,8,0,0,0,0,0,0,632,23,2,65
132,2,3,73448.0,10,4,0,0,0,0,0,0,725,19,0,54
134,4,3,41551.0,51,8,0,0,0,0,0,0,279,16,2,59
135,4,5,62981.0,21,3,0,1,0,0,0,0,1482,23,0,56
136,1,2,9548.0,31,8,0,0,0,0,0,0,29,6,1,47
137,4,3,33762.0,61,8,0,0,0,0,0,0,106,9,3,64
138,4,1,35860.0,37,5,1,0,0,0,0,0,49,6,2,50
139,4,2,36921.0,74,7,0,0,0,0,0,0,38,7,2,58
140,3,4,92859.0,46,2,0,0,0,0,0,0,2077,22,0,31
141,3,5,65104.0,4,7,0,0,0,0,0,0,1053,17,1,47
142,2,3,86111.0,73,2,0,0,0,0,0,0,1385,23,0,61
143,4,4,68352.0,47,6,0,0,0,0,0,0,871,25,1,49
144,2,5,41883.0,13,7,0,0,0,0,0,0,312,12,1,35
145,2,3,59809.0,36,8,0,0,0,0,0,0,877,15,2,47
146,2,3,23957.0,47,6,0,0,0,0,0,0,68,6,1,48
147,2,5,38547.0,49,8,0,0,0,0,0,1,22,4,1,42
148,0,3,35688.0,94,8,0,0,0,0,0,0,211,16,3,50
149,3,3,49605.0,65,3,0,0,0,0,0,0,127,8,0,57
150,3,3,59354.0,59,3,0,0,0,0,0,0,459,16,2,70
151,2,3,65747.0,96,6,0,1,0,0,0,0,460,19,1,54
152,0,5,46344.0,28,7,0,0,0,0,0,0,429,17,1,51
153,2,1,34176.0,12,6,0,0,0,0,0,0,89,11,1,35
154,4,5,61010.0,57,5,0,0,0,0,0,0,1021,26,1,71
155,2,5,69372.0,10,4,0,1,1,0,0,0,1381,21,0,74
156,2,4,49967.0,4,7,0,0,0,0,0,0,306,15,1,65
157,2,4,60199.0,49,4,0,0,0,0,0,0,18,4,3,45
158,2,5,55375.0,3,2,0,0,0,0,0,0,162,9,1,46
159,2,4,80317.0,64,1,0,0,0,0,0,0,1231,18,0,68
160,3,4,30523.0,0,7,0,0,0,0,0,0,13,4,3,65
161,4,3,70356.0,20,6,0,0,0,0,0,0,1706,27,0,78
162,2,3,23228.0,91,8,0,0,0,0,0,0,121,11,1,39
163,4,2,74165.0,9,2,0,0,0,0,0,0,1293,20,0,48
164,4,3,157243.0,98,0,0,0,0,0,0,0,1608,37,1,50
165,2,5,43482.0,83,6,0,0,0,0,0,0,88,9,3,57
166,2,2,62551.0,27,3,1,0,0,0,0,0,421,18,0,70
167,2,2,52332.0,63,4,0,1,0,0,0,0,259,12,0,64
168,2,4,66951.0,46,1,0,0,0,0,0,0,1117,15,0,35
169,2,5,26091.0,84,5,0,0,0,0,0,0,89,9,2,66
170,2,5,33456.0,58,7,0,0,0,0,0,0,36,6,2,58
171,2,3,28718.0,78,8,0,0,0,0,0,0,57,7,1,41
172,2,3,50447.0,4,6,0,0,0,0,0,0,148,8,2,53
173,4,5,53537.0,17,5,0,0,0,0,0,0,93,8,2,64
174,2,4,52074.0,77,4,1,0,0,0,0,0,119,7,1,56
175,4,3,80427.0,56,5,0,0,0,0,0,0,1835,28,1,48
176,4,3,83837.0,79,4,0,1,0,1,0,0,1318,25,0,75
177,4,3,38853.0,90,7,0,0,0,0,0,0,45,7,2,53
178,2,5,38285.0,96,2,0,0,0,0,0,0,10,4,3,64
179,0,3,78497.0,44,2,0,0,0,1,0,0,978,25,0,72
180,4,3,51650.0,81,5,0,0,0,0,0,0,191,10,1,47
181,0,3,16248.0,77,6,0,0,0,0,0,0,57,9,1,35
182,3,3,66835.0,21,2,0,0,0,0,0,0,1033,24,0,77
183,3,3,30477.0,16,6,0,0,0,0,0,0,66,6,1,39
184,1,3,28249.0,80,6,0,0,0,0,0,0,43,6,0,62
185,2,3,25271.0,45,9,0,0,0,0,0,0,50,5,1,40
186,4,4,32303.0,63,5,0,0,0,0,0,0,39,7,1,53
187,2,3,61286.0,34,5,0,0,0,0,0,0,608,18,1,57
188,2,3,74068.0,14,2,0,0,0,0,0,0,1581,24,0,47
189,4,3,45759.0,13,7,0,0,0,0,0,0,68,7,2,59
190,1,5,24882.0,52,6,1,0,0,0,0,0,80,5,1,45
191,4,5,66973.0,98,3,0,0,0,0,0,0,1282,28,0,34
192,0,2,36640.0,99,5,0,0,0,0,0,1,65,6,1,123
193,2,3,38872.0,93,8,0,0,0,0,0,0,91,8,1,35
194,2,3,51148.0,38,6,0,0,0,0,0,0,315,16,2,50
195,2,3,31353.0,24,8,0,0,0,0,0,0,31,6,2,46
196,3,3,69661.0,80,3,0,0,0,0,0,0,834,23,0,43
197,2,3,80067.0,82,2,0,0,1,0,0,0,1600,17,0,69
198,2,3,86718.0,20,2,0,0,0,0,0,0,1270,17,0,69
199,4,4,46854.0,81,8,1,0,0,0,0,0,263,15,2,50
200,2,2,69142.0,50,5,0,1,0,0,0,0,535,19,1,71
201,2,4,75922.0,60,1,0,0,0,0,0,0,1295,18,0,55
202,2,2,63693.0,63,6,0,0,0,0,0,0,1150,29,1,45
203,4,5,102160.0,54,4,0,1,1,1,0,0,1240,26,0,46
204,4,4,40637.0,72,7,0,0,0,0,0,0,38,6,2,58
205,3,4,18890.0,5,6,1,0,0,0,0,0,35,4,0,39
206,2,5,29604.0,88,9,1,0,0,0,0,0,53,5,1,35
207,3,2,48721.0,50,6,0,0,0,0,0,0,293,17,2,60
208,2,3,44794.0,99,6,0,0,0,0,0,0,65,6,1,57
209,2,2,64497.0,17,8,1,0,0,0,0,0,1804,29,1,69
210,2,5,46097.0,11,4,0,0,0,0,0,0,241,15,1,67
211,2,5,77972.0,18,1,0,0,0,0,0,0,1101,20,0,69
212,4,3,44377.0,70,8,0,0,0,0,0,0,264,19,2,55
213,3,5,46014.0,21,7,0,0,0,0,0,0,541,26,2,49
214,2,3,70951.0,66,1,0,0,0,0,0,0,1198,17,0,38
215,2,3,41443.0,79,8,0,0,0,0,0,0,482,20,1,46
216,0,4,52195.0,2,8,0,0,0,0,0,0,17,4,3,45
217,3,3,83790.0,81,3,0,1,1,0,0,0,1615,25,0,75
218,3,6,44551.0,24,7,0,0,0,0,0,0,285,12,1,69
219,2,5,69508.0,48,6,0,0,0,0,0,0,1135,28,1,43
220,0,5,45204.0,93,3,0,0,0,0,0,0,114,7,1,35
221,2,3,72460.0,56,1,0,0,0,0,0,0,1047,16,0,54
222,4,5,77622.0,3,3,0,0,0,0,0,0,714,22,2,53
223,4,3,30732.0,44,8,0,0,0,0,0,0,185,13,1,43
224,2,2,63887.0,38,6,0,0,0,0,0,0,1245,32,1,61
225,2,5,42011.0,46,8,0,0,0,0,0,0,189,12,1,45
226,2,5,51369.0,84,8,0,0,0,0,0,0,576,16,1,47
227,2,2,51537.0,27,8,0,0,0,0,0,0,1103,18,1,71
228,4,3,79930.0,72,2,0,0,0,0,0,0,1753,17,0,51
229,4,5,34320.0,66,8,0,0,0,0,0,0,17,4,1,37
230,2,4,37070.0,30,7,0,0,0,0,0,0,433,23,2,57
231,0,2,81975.0,2,7,0,0,1,0,0,0,1588,14,1,61
232,2,5,38590.0,65,8,0,0,0,0,0,0,22,4,1,52
233,2,4,15033.0,37,3,0,0,0,0,0,0,19,5,0,72
234,4,3,62745.0,89,5,0,0,0,0,0,0,1117,29,1,58
235,0,3,22212.0,49,6,0,0,0,0,0,0,69,8,1,48
236,3,5,23661.0,46,7,0,0,0,0,0,0,23,5,1,41
237,4,4,79761.0,32,3,0,0,0,0,0,0,605,19,1,65
238,2,4,7500.0,54,7,0,0,0,0,0,0,57,11,1,50
239,0,4,60182.0,23,4,0,0,0,0,0,0,22,4,1,130
240,2,6,73455.0,98,3,0,1,0,0,0,0,2088,22,0,55
241,2,5,64961.0,97,3,0,0,0,0,0,0,1009,16,1,65
242,2,4,22804.0,75,9,0,0,0,0,0,0,26,5,1,52
243,2,3,73687.0,8,2,0,0,0,1,0,0,1627,22,0,33
244,2,3,61074.0,37,7,0,0,0,0,0,0,1102,31,1,65
245,4,3,31686.0,31,6,0,0,0,0,0,0,17,6,2,59
246,2,3,80134.0,40,6,0,1,1,1,0,0,1690,16,1,51
247,2,3,75027.0,74,5,0,0,0,0,0,0,1390,21,1,70
248,4,3,67546.0,90,3,0,0,0,0,0,0,2126,20,0,35
249,3,5,65176.0,57,6,0,0,0,0,0,0,1531,25,1,54
250,3,4,31160.0,59,8,0,0,0,0,0,0,64,7,1,48
251,2,4,29938.0,52,6,0,0,0,0,0,0,26,6,1,38
252,2,2,102692.0,5,2,0,1,1,1,1,0,1112,29,0,49
253,0,5,26490.0,92,6,0,0,0,0,0,0,210,11,0,65
254,2,5,75702.0,77,8,0,0,0,0,0,0,1148,26,2,56
255,4,4,30899.0,35,6,0,0,0,0,0,0,33,6,1,49
256,4,5,63342.0,48,6,0,1,0,0,0,0,1101,19,1,62
257,2,4,45989.0,97,3,0,0,0,0,0,0,322,16,1,59
258,2,4,18701.0,95,5,0,0,0,0,0,0,44,10,2,59
259,4,4,40737.0,24,8,0,0,0,0,0,0,17,4,3,66
260,2,2,15287.0,60,7,1,0,0,0,0,0,31,6,1,44
261,4,2,69674.0,46,5,0,0,0,0,0,0,845,25,2,55
262,3,3,44159.0,85,5,0,0,0,0,0,0,275,15,1,53
263,4,3,37717.0,31,9,0,0,0,0,0,0,25,4,1,45
264,3,5,43776.0,9,8,0,0,0,0,0,0,275,17,2,71
265,3,3,38179.0,30,7,0,0,0,0,0,0,90,11,2,57
266,2,3,80124.0,47,1,1,0,0,0,0,0,1495,19,0,60
267,4,3,38097.0,70,7,1,0,0,0,0,0,184,11,2,53
268,2,3,72940.0,13,1,0,0,0,0,0,0,981,13,0,53
269,2,5,22070.0,11,6,0,0,0,0,0,0,67,8,1,53
270,2,4,69267.0,31,7,0,0,0,0,0,0,1635,14,0,70
271,3,4,31788.0,15,5,0,0,0,0,0,1,60,10,1,40
272,4,5,61905.0,2,5,0,0,0,0,0,0,231,12,1,48
273,2,3,29315.0,55,6,0,0,0,0,0,0,48,10,2,63
274,2,2,33378.0,38,7,0,0,0,0,0,0,99,9,2,60
275,4,5,66313.0,86,4,0,0,0,0,0,0,770,23,1,60
276,2,4,60714.0,56,5,0,0,0,0,0,0,957,23,0,67
277,3,5,77882.0,29,1,0,0,0,0,0,0,818,12,0,42
278,4,4,69867.0,30,1,0,0,0,1,0,0,925,17,0,37
279,3,2,63841.0,64,6,0,0,0,0,0,0,908,22,1,55
280,1,3,24480.0,46,7,0,0,0,0,0,0,102,10,1,42
281,2,5,51369.0,84,8,0,0,0,0,0,0,576,16,1,47
282,2,5,37760.0,20,7,0,0,0,0,0,0,317,13,0,77
283,4,5,65640.0,74,2,0,0,0,0,0,0,461,15,1,49
284,3,3,44319.0,18,5,0,0,0,0,0,0,37,7,2,48
285,2,3,30631.0,75,7,0,0,0,0,0,0,70,7,1,49
286,2,5,75278.0,17,3,0,0,0,0,0,0,930,23,0,71
287,3,5,50898.0,88,5,0,0,0,0,0,0,859,33,2,67
288,2,6,79946.0,19,3,0,0,0,0,0,0,1478,22,0,57
289,3,2,35416.0,62,8,0,0,0,0,0,0,390,16,0,74
290,0,5,32414.0,11,7,1,0,0,0,0,0,52,5,0,39
291,2,5,38361.0,74,7,0,0,0,0,0,0,137,10,1,54
292,2,3,82497.0,32,4,0,0,1,0,0,0,1919,19,0,43
293,2,5,16626.0,76,9,0,0,0,0,0,0,68,9,2,52
294,2,5,29672.0,6,6,0,0,0,0,0,0,25,4,2,58
295,3,5,55951.0,62,8,0,1,0,0,1,0,1374,23,1,71
296,0,2,35388.0,20,7,0,0,0,0,0,0,32,5,1,35
297,3,5,42386.0,43,8,0,0,0,0,0,0,100,7,1,37
298,2,4,68627.0,45,1,0,0,0,0,0,0,825,12,0,41
299,4,2,57912.0,34,5,0,1,0,0,0,0,916,28,1,58
300,2,2,35246.0,53,5,0,0,0,0,0,0,62,11,2,65
301,0,5,58821.0,44,6,0,0,0,0,0,0,728,21,1,67
302,4,3,46377.0,89,4,0,0,0,0,0,0,90,7,1,45
303,2,4,39747.0,43,8,0,0,0,0,0,0,273,13,1,35
304,2,5,23976.0,68,7,0,0,0,0,0,0,66,10,1,39
305,3,3,80950.0,44,2,0,0,0,1,0,0,1213,23,0,62
306,2,6,27038.0,64,9,0,0,0,0,0,0,107,7,0,57
307,2,4,77457.0,85,1,0,0,1,0,0,0,1157,18,0,76
308,3,3,64100.0,93,7,0,1,0,0,0,0,546,18,1,59
309,3,5,42670.0,12,4,0,0,0,0,0,0,241,11,0,31
310,2,2,12571.0,86,6,0,0,0,0,0,0,53,11,1,47
311,2,3,22574.0,28,7,0,0,0,0,0,0,37,7,3,56
313,3,4,70893.0,42,3,0,0,0,0,0,0,1508,23,0,47
314,2,3,54198.0,13,4,0,0,0,0,0,0,235,16,2,57
315,3,5,28839.0,86,5,0,0,0,0,0,0,32,7,2,67
316,2,3,40321.0,59,7,0,0,0,0,0,0,102,8,2,51
317,2,4,66503.0,30,3,0,0,0,0,0,0,401,15,1,38
318,2,3,30833.0,33,5,0,0,0,0,0,0,28,6,2,72
320,2,3,64795.0,23,2,0,0,0,0,0,0,680,21,1,52
321,2,3,34421.0,81,7,0,0,0,0,0,0,30,4,1,49
322,4,2,47025.0,6,7,0,0,0,0,0,0,20,4,2,58
323,4,2,64325.0,41,7,0,0,0,0,0,0,1307,23,1,62
324,2,4,40464.0,78,8,0,0,0,0,0,0,630,24,1,70
325,2,3,62187.0,49,3,0,0,0,0,0,0,1283,18,0,66
326,4,2,14849.0,39,8,0,0,0,0,0,0,65,9,1,47
327,2,3,27255.0,3,7,0,0,0,0,0,0,37,5,1,39
328,4,3,54432.0,37,4,0,0,0,0,0,0,38,5,3,73
329,4,4,29999.0,22,8,0,0,0,0,0,0,160,12,1,37
330,2,4,24072.0,79,8,0,0,0,0,0,0,23,4,1,40
331,4,4,33996.0,46,4,0,0,0,0,0,0,71,6,0,34
332,4,3,66334.0,82,5,0,0,0,0,0,0,1161,19,1,67
333,3,3,35178.0,10,7,1,0,0,0,0,0,59,5,1,52
334,2,5,22010.0,51,8,0,0,0,0,0,0,33,7,1,40
335,2,2,62204.0,38,3,0,0,0,0,0,0,946,22,2,63
336,2,2,75693.0,10,4,0,1,1,1,0,0,1442,22,0,55
337,2,3,30675.0,14,8,0,0,0,0,0,0,62,5,1,51
338,2,5,83003.0,18,3,0,0,1,0,0,0,1674,22,0,58
339,4,5,83532.0,36,1,0,0,1,0,0,0,1853,15,0,124
340,2,4,68655.0,95,3,0,0,0,0,0,0,1538,21,0,35
341,2,2,41411.0,11,6,0,0,0,0,0,0,139,8,0,37
342,4,3,55212.0,65,8,0,1,0,0,1,0,1182,20,1,54
343,4,5,59292.0,71,3,0,0,0,0,0,0,507,18,1,73
344,1,5,27190.0,13,8,1,0,0,0,0,0,18,4,1,50
345,2,2,82623.0,58,1,0,0,0,0,0,0,940,16,0,71
346,2,3,44300.0,65,6,0,0,0,0,0,0,42,6,2,58
347,2,2,84835.0,0,1,0,0,0,0,0,0,1190,15,0,53
348,2,6,30372.0,33,7,0,0,0,0,0,0,44,8,2,52
349,3,3,33181.0,90,6,1,0,0,0,0,0,16,4,1,47
350,2,3,71113.0,95,4,0,0,0,0,0,0,835,26,1,66
351,2,3,71952.0,93,4,1,0,1,0,0,0,1443,22,1,37
352,4,4,69759.0,38,3,0,0,0,0,0,0,1029,18,0,57
353,2,3,72099.0,18,1,0,0,0,0,0,0,1188,18,0,49
354,4,4,60000.0,57,6,0,0,0,0,0,0,1277,24,1,47
355,2,4,38643.0,45,7,0,0,0,0,0,1,49,7,2,45
356,2,3,50737.0,61,6,0,1,0,0,0,0,99,7,1,68
357,4,3,68462.0,6,1,0,0,0,0,0,0,1670,15,0,54
358,3,3,65073.0,65,2,0,0,0,0,0,1,900,14,0,80
359,4,5,46681.0,52,5,0,0,0,0,0,0,425,16,2,75
360,2,3,78618.0,87,2,0,1,0,0,0,0,2153,22,0,66
361,4,6,62187.0,38,4,0,0,0,0,0,0,636,21,1,54
362,2,3,28442.0,53,4,0,0,0,0,0,0,57,10,2,45
363,4,3,37717.0,31,9,0,0,0,0,0,0,25,4,1,45
364,2,3,51479.0,67,7,0,0,0,0,0,0,494,22,2,56
365,2,4,54803.0,65,4,0,0,0,0,0,0,693,19,1,54
366,2,3,79530.0,64,2,0,0,0,0,0,0,1348,26,0,63
367,2,2,31615.0,82,7,0,0,0,0,0,0,51,7,1,47
368,2,5,72025.0,27,3,0,0,0,0,0,0,1932,16,0,61
369,4,4,52614.0,63,8,0,0,0,0,0,0,990,16,1,48
370,0,3,35684.0,66,6,0,0,0,0,0,0,30,5,1,39
371,2,3,48178.0,69,8,0,0,0,0,0,0,254,16,2,48
372,3,4,29548.0,52,4,1,0,0,0,0,0,29,5,1,53
373,2,4,63810.0,45,8,0,1,0,0,0,0,1371,23,1,57
374,4,4,38578.0,2,8,0,0,0,0,0,0,73,9,2,51
375,3,4,46098.0,86,8,0,0,0,0,0,0,120,11,2,48
376,2,4,22585.0,23,9,1,0,0,0,0,0,81,5,0,53
377,2,4,30279.0,13,8,0,0,0,0,0,0,37,5,1,34
378,4,5,66426.0,14,6,0,0,0,0,0,0,1377,20,1,62
379,2,4,30822.0,92,7,0,0,0,0,0,0,51,5,1,54
380,4,3,33581.0,38,8,0,0,0,0,0,0,17,4,2,54
381,2,3,19986.0,74,7,0,0,0,0,0,0,22,4,1,38
382,2,6,27421.0,14,7,0,0,0,0,0,0,324,14,0,69
383,0,3,35688.0,94,8,0,0,0,0,0,0,211,16,3,50
384,3,4,36143.0,33,3,0,0,0,0,0,0,19,4,1,42
